Software Version,3.10.06,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,,,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,12/26/2006,,,,,,,,,,,,,
Time,23:48:16,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,20093018,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE (Use plate lid),,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Shake,Orbital: 0:10 (MM:SS),,,,,,,,,,,,,
,Frequency: 237 cpm (4 mm),,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  570,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,24.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,BC,2%,5%,10%,cell-only,only PHA,blank,blank,blank,blank,blank,blank,
,A,0.095,0.143,0.132,0.18,0.163,0.172,0.044,0.044,0.045,0.043,0.043,0.043,570
,B,0.123,0.142,0.121,0.187,0.193,0.173,0.045,0.044,0.044,0.043,0.044,0.044,570
,C,0.118,0.168,0.129,0.19,0.185,0.189,0.044,0.044,0.044,0.044,0.044,0.044,570
,D,0.099,0.117,0.124,0.187,0.165,0.176,0.044,0.044,0.044,0.044,0.044,0.043,570
,E,0.101,0.139,0.145,0.201,0.173,0.167,0.044,0.043,0.043,0.043,0.044,0.043,570
,F,0.127,0.125,0.152,0.201,0.135,0.223,0.044,0.047,0.044,0.043,0.044,0.044,570
,blank,0.043,0.042,0.043,0.043,0.043,0.044,0.044,0.044,0.044,0.045,0.044,0.044,570
,blank,0.045,0.044,0.043,0.043,0.044,0.043,0.044,0.044,0.044,0.044,0.044,0.043,570
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
