# Instructions:,,,,
# 1. Open this CSV file in a spreadsheet program.,,,,
"# 2. For each group, time point, and replicate, fill in the ""Dead"" and ""Total"" columns.",,,,
"# 3. ""Dead"" represents the number of dead worms at that time point.",,,,
"# 4. ""Total"" represents the total number of worms at the start of the experiment for that replicate.",,,,
# 5. Save the file after entering all your data.,,,,
# 6. Use this filled CSV file as input for your Kaplan-Meier analysis script.,,,,
,,,,
Group,Time,Replicate,Dead,Total
Control,0,Rep1,,
Control,0,Rep2,,
Control,0,Rep3,,
Control,24,Rep1,,
Control,24,Rep2,,
Control,24,Rep3,,
Control,48,Rep1,,
Control,48,Rep2,,
Control,48,Rep3,,
Control,72,Rep1,,
Control,72,Rep2,,
Control,72,Rep3,,
Group1,0,Rep1,,
Group1,0,Rep2,,
Group1,0,Rep3,,
Group1,24,Rep1,,
Group1,24,Rep2,,
Group1,24,Rep3,,
Group1,48,Rep1,,
Group1,48,Rep2,,
Group1,48,Rep3,,
Group1,72,Rep1,,
Group1,72,Rep2,,
Group1,72,Rep3,,
Group2,0,Rep1,,
Group2,0,Rep2,,
Group2,0,Rep3,,
Group2,24,Rep1,,
Group2,24,Rep2,,
Group2,24,Rep3,,
Group2,48,Rep1,,
Group2,48,Rep2,,
Group2,48,Rep3,,
Group2,72,Rep1,,
Group2,72,Rep2,,
Group2,72,Rep3,,
Group3,0,Rep1,,
Group3,0,Rep2,,
Group3,0,Rep3,,
Group3,24,Rep1,,
Group3,24,Rep2,,
Group3,24,Rep3,,
Group3,48,Rep1,,
Group3,48,Rep2,,
Group3,48,Rep3,,
Group3,72,Rep1,,
Group3,72,Rep2,,
Group3,72,Rep3,,
Group4,0,Rep1,,
Group4,0,Rep2,,
Group4,0,Rep3,,
Group4,24,Rep1,,
Group4,24,Rep2,,
Group4,24,Rep3,,
Group4,48,Rep1,,
Group4,48,Rep2,,
Group4,48,Rep3,,
Group4,72,Rep1,,
Group4,72,Rep2,,
Group4,72,Rep3,,
Group5,0,Rep1,,
Group5,0,Rep2,,
Group5,0,Rep3,,
Group5,24,Rep1,,
Group5,24,Rep2,,
Group5,24,Rep3,,
Group5,48,Rep1,,
Group5,48,Rep2,,
Group5,48,Rep3,,
Group5,72,Rep1,,
Group5,72,Rep2,,
Group5,72,Rep3,,
Group6,0,Rep1,,
Group6,0,Rep2,,
Group6,0,Rep3,,
Group6,24,Rep1,,
Group6,24,Rep2,,
Group6,24,Rep3,,
Group6,48,Rep1,,
Group6,48,Rep2,,
Group6,48,Rep3,,
Group6,72,Rep1,,
Group6,72,Rep2,,
Group6,72,Rep3,,
Group7,0,Rep1,,
Group7,0,Rep2,,
Group7,0,Rep3,,
Group7,24,Rep1,,
Group7,24,Rep2,,
Group7,24,Rep3,,
Group7,48,Rep1,,
Group7,48,Rep2,,
Group7,48,Rep3,,
Group7,72,Rep1,,
Group7,72,Rep2,,
Group7,72,Rep3,,
Group8,0,Rep1,,
Group8,0,Rep2,,
Group8,0,Rep3,,
Group8,24,Rep1,,
Group8,24,Rep2,,
Group8,24,Rep3,,
Group8,48,Rep1,,
Group8,48,Rep2,,
Group8,48,Rep3,,
Group8,72,Rep1,,
Group8,72,Rep2,,
Group8,72,Rep3,,
